"PK","SK","applicationSubmitted","authMethod","availabilitySearch","availableDays","availableWinterSession","bio","careerFields","careerFieldsSearch","cityState","companyAddress","companyWebsite","createdAt","customIdentities","directoryId","email","experienceDescription","experienceType","firstName","graduationYear","GSI1PK","GSI1SK","GSI2PK","GSI2SK","GSI3PK","GSI3SK","industry","interestedInRecruitment","isDcMetroAccessible","isFederalAgency","isPhysicalOffice","isUmdAlumni","isUmdParent","jobTitle","lastName","location","locationSearch","major","matched","matchedStudentIds","maxStudents","opportunityType","organization","organizationDescription","orientationCompleted","password","permissions","preferredPhone","preferredPrefix","previousHostExperience","registrationData","requiresBackgroundCheck","requiresCitizenship","role","sharedIdentities","status","updatedAt","userId","username","verified","workEmail","workLocation","workLocationAccessibilityUnsure","workPhone","zipCode"
"USER#34e884b8-a051-7030-09a8-f06515cafd56","PROFILE","","","","","","jhalpert@gmail.com","[{""S"":""Business""}]","","jhalpert@gmail.com","jhalpert@gmail.com","https://www.jhalpertgmailcom.com","2025-08-10T19:31:04.600Z","{}","","jhalpert@gmail.com","jhalpert@gmail.com","interview","james","","EMAIL#jhalpert@gmail.com","USER#34e884b8-a051-7030-09a8-f06515cafd56","ROLE#host","USER#34e884b8-a051-7030-09a8-f06515cafd56","","","Business","","","false","false","false","false","jhalpert@gmail.com","halpert","virtual","","","","","","virtual","jhalpert@gmail.com","jhalpert@gmail.com","","","","1234567891","Mr.","false","","false","false","host","[{""S"":""Religion""}]","approved","2025-08-11T07:06:27.711Z","34e884b8-a051-7030-09a8-f06515cafd56","","true","jhalpert@gmail.com","","false","","12345"
"USER#64482458-e0d1-70b7-3ee6-836b3ed953be","PROFILE","","","","","","","","","","","","2025-08-11T10:20:50.832Z","","","dude@gmail.com","","","dude@gmail.com","","EMAIL#dude@gmail.com","USER#64482458-e0d1-70b7-3ee6-836b3ed953be","ROLE#host","USER#64482458-e0d1-70b7-3ee6-836b3ed953be","","","","","","","","","","dude@gmail.com","dude@gmail.com","","","","","","","","dude@gmail.com","","","","","","","","{""opportunityType"":{""S"":""virtual""},""careerFields"":{""L"":[{""S"":""Consulting""}]},""organizationDescription"":{""S"":""dude@gmail.com""},""requiresBackgroundCheck"":{""BOOL"":false},""umdAlumni"":{""BOOL"":false},""umdParent"":{""BOOL"":false},""experienceDescription"":{""S"":""dude@gmail.com""},""requiresCitizenship"":{""BOOL"":false},""additionalInfo"":{""S"":""""},""availableDays"":{""L"":[]}}","","","host","","pending","2025-08-11T10:20:50.832Z","64482458-e0d1-70b7-3ee6-836b3ed953be","","false","","virtual","","123456789",""
"USER#94886438-80f1-7069-b9e4-5b42ba80a305","PROFILE","","","","","","test","[{""S"":""Consulting""}]","","test","test","https://www.strongpassw0rd.com","2025-08-10T20:09:44.017Z","{}","","a@gmail.com","test","interview","a","","EMAIL#a@gmail.com","USER#94886438-80f1-7069-b9e4-5b42ba80a305","ROLE#host","USER#94886438-80f1-7069-b9e4-5b42ba80a305","","","Consulting","","","false","false","false","false","test","a","virtual","","","","","","virtual","]test","test","","","","123456789","None","false","","false","false","host","[{""S"":""Multiracial""}]","","2025-08-10T20:09:44.017Z","94886438-80f1-7069-b9e4-5b42ba80a305","","false","a@gmail.com","","false","","12345"
"USER#6488e458-f0e1-7050-0fe5-8bfec29c24d3","PROFILE","","","","","","","","","","","","2025-08-11T09:59:51.715Z","","","test@gmail.com","","","dheer","","EMAIL#test@gmail.com","USER#6488e458-f0e1-7050-0fe5-8bfec29c24d3","ROLE#host","USER#6488e458-f0e1-7050-0fe5-8bfec29c24d3","","","","","","","","","","Password123","guda","","","","","","","","Password123","","","","","","","","{""opportunityType"":{""S"":""virtual""},""careerFields"":{""L"":[{""S"":""Policy and Advocacy""}]},""organizationDescription"":{""S"":""Password123""},""requiresBackgroundCheck"":{""BOOL"":false},""umdAlumni"":{""BOOL"":false},""umdParent"":{""BOOL"":false},""experienceDescription"":{""S"":""Password123""},""requiresCitizenship"":{""BOOL"":false},""additionalInfo"":{""S"":""""},""availableDays"":{""L"":[]}}","","","host","","pending","2025-08-11T09:59:51.715Z","6488e458-f0e1-7050-0fe5-8bfec29c24d3","","false","","virtual","","Password123",""
"USER#a4b844d8-20e1-700a-2a6b-2f1c0e33debc","PROFILE","","","","","","","","","","","","2025-08-11T09:54:51.104Z","","","dg@gmail.com","","","d","","EMAIL#dg@gmail.com","USER#a4b844d8-20e1-700a-2a6b-2f1c0e33debc","ROLE#host","USER#a4b844d8-20e1-700a-2a6b-2f1c0e33debc","","","","","","","","","","Password123","g","","","","","","","","Password123","","","","","","","","{""opportunityType"":{""S"":""in-person""},""careerFields"":{""L"":[{""S"":""Policy and Advocacy""}]},""organizationDescription"":{""S"":""Password123""},""requiresBackgroundCheck"":{""BOOL"":false},""umdAlumni"":{""BOOL"":false},""umdParent"":{""BOOL"":false},""experienceDescription"":{""S"":""Password123""},""requiresCitizenship"":{""BOOL"":false},""additionalInfo"":{""S"":""""},""availableDays"":{""L"":[]}}","","","host","","pending","2025-08-11T09:54:51.104Z","a4b844d8-20e1-700a-2a6b-2f1c0e33debc","","false","","""Password123, Password123 12345""","","732-268-0687",""
"USER#c4380488-20f1-7032-c9c3-40fa47f018d7","PROFILE","","","","","","","","","","","","2025-08-11T10:07:39.313Z","","","dheer@gmail.com","","","dheer","","EMAIL#dheer@gmail.com","USER#c4380488-20f1-7032-c9c3-40fa47f018d7","ROLE#host","USER#c4380488-20f1-7032-c9c3-40fa47f018d7","","","","","","","","","","Password123","guda","","","","","","","","Password123","","","","","","","","{""opportunityType"":{""S"":""virtual""},""careerFields"":{""L"":[{""S"":""Policy and Advocacy""}]},""organizationDescription"":{""S"":""Password123""},""requiresBackgroundCheck"":{""BOOL"":false},""umdAlumni"":{""BOOL"":false},""umdParent"":{""BOOL"":false},""experienceDescription"":{""S"":""Password123""},""requiresCitizenship"":{""BOOL"":false},""additionalInfo"":{""S"":""""},""availableDays"":{""L"":[]}}","","","host","","pending","2025-08-11T10:07:39.313Z","c4380488-20f1-7032-c9c3-40fa47f018d7","","false","","virtual","","Password123",""
"USER#44685408-50d1-7064-2748-afe6dd907bac","PROFILE","","","","","","","","","","","","2025-08-11T07:38:39.609Z","","","gheetdufa@gmail.com","","","Dheer","","EMAIL#gheetdufa@gmail.com","USER#44685408-50d1-7064-2748-afe6dd907bac","ROLE#host","USER#44685408-50d1-7064-2748-afe6dd907bac","","","","","","","","","","CEO","Guda","","","","","","","","Capital One","","","","","","","","{""opportunityType"":{""S"":""in-person""},""careerFields"":{""L"":[{""S"":""Business""},{""S"":""Consulting""},{""S"":""Communications, Journalism, Media""},{""S"":""Cybersecurity""}]},""organizationDescription"":{""S"":""this is a test""},""requiresBackgroundCheck"":{""BOOL"":false},""umdAlumni"":{""BOOL"":false},""umdParent"":{""BOOL"":false},""experienceDescription"":{""S"":""this is a test""},""requiresCitizenship"":{""BOOL"":true},""additionalInfo"":{""S"":""""},""availableDays"":{""L"":[]}}","","","host","","approved","2025-08-11T07:39:52.593Z","44685408-50d1-7064-2748-afe6dd907bac","","true","","""this is a test, this is a test 12345""","","7322680687",""
"USER#5498a4e8-5031-709c-949a-d2c2f6707435","PROFILE","","","","","","","","","","","","2025-08-11T10:06:18.872Z","","","testingtest@gmail.com","","","testing","","EMAIL#testingtest@gmail.com","USER#5498a4e8-5031-709c-949a-d2c2f6707435","ROLE#host","USER#5498a4e8-5031-709c-949a-d2c2f6707435","","","","","","","","","","testingtest@gmail.com","test","","","","","","","","testingtest@gmail.com","","","","","","","","{""opportunityType"":{""S"":""in-person""},""careerFields"":{""L"":[{""S"":""Business""}]},""organizationDescription"":{""S"":""testingtest@gmail.com""},""requiresBackgroundCheck"":{""BOOL"":false},""umdAlumni"":{""BOOL"":false},""umdParent"":{""BOOL"":false},""experienceDescription"":{""S"":""testingtest@gmail.com""},""requiresCitizenship"":{""BOOL"":false},""additionalInfo"":{""S"":""""},""availableDays"":{""L"":[]}}","","","host","","pending","2025-08-11T10:06:18.872Z","5498a4e8-5031-709c-949a-d2c2f6707435","","false","","""testingtest@gmail.com, testingtest@gmail.com testingtest@gmail.com""","","7322680687",""
"USER#c468b498-60c1-700c-2ae1-995cf6e6d51a","PROFILE","","","","","","this is a test","[{""S"":""Business""},{""S"":""Sales and Marketing""}]","","this is a test","this is a test","https://www.capitalone.com","2025-08-10T19:20:11.555Z","{}","","someone@gmail.com","this is a test","interview","Dheer","","EMAIL#someone@gmail.com","USER#c468b498-60c1-700c-2ae1-995cf6e6d51a","ROLE#host","USER#c468b498-60c1-700c-2ae1-995cf6e6d51a","","","Business","","","false","false","false","false","this is a test","Guda","virtual","","","","","","virtual","Capital One","this is a test","","","","7322680687","Mr.","false","","false","false","host","[{""S"":""LGBTQ+""}]","","2025-08-10T19:20:11.555Z","c468b498-60c1-700c-2ae1-995cf6e6d51a","","false","someone@gmail.com","","false","","12345"
"USER#04a824c8-5061-7062-6c14-97fcd1ac16a9","PROFILE","","","","","","","","","","","","2025-08-11T09:30:34.735Z","","","dheerguda@gmail.com","","","Dheer","","EMAIL#dheerguda@gmail.com","USER#04a824c8-5061-7062-6c14-97fcd1ac16a9","ROLE#host","USER#04a824c8-5061-7062-6c14-97fcd1ac16a9","","","","","","","","","","CEO","Guda","","","","","","","","University of Maryland","","","","","","","","{""opportunityType"":{""S"":""in-person""},""careerFields"":{""L"":[{""S"":""Education""}]},""organizationDescription"":{""S"":""UMD!""},""requiresBackgroundCheck"":{""BOOL"":false},""umdAlumni"":{""BOOL"":false},""umdParent"":{""BOOL"":false},""experienceDescription"":{""S"":""Learning about IFAD!""},""requiresCitizenship"":{""BOOL"":false},""additionalInfo"":{""S"":""""},""availableDays"":{""L"":[]}}","","","host","","pending","2025-08-11T09:30:34.735Z","04a824c8-5061-7062-6c14-97fcd1ac16a9","","false","","""College Park, MD , College Park, MD 20742""","","123-456-7689",""
